title,description,Brand,imageName,Tags,price,Variation,subcategory,category
MOZONE BAR DISPOSABLES,"
                 A flavored Disposable Vape. 5% Nic Salt.  Offers around 800 puffs. Each package has 1.  Each box has 10.FLAVORSBLUE RAZZ - BLUE RAZZ ICED - PINA COLADA - POLAR ICE- WATERMELON
                              ","BRAND:
MOZONE BAR",MOZONE BAR DISPOSABLES.png,"NEW,MOZONE BAR,DISPOSABLES","$40.00,$40.00,$40.00,$40.00,$40.00","BLUE RAZZ,BLUE RAZZ ICED,PINA COLADA,POLAR ICE,WATERMELON",DISPOSABLES,POD SYSTEMS
LIO DISPOSABLE DEVICE,"
                 INNOVATIVE DESIGN:The LIO BEE16 is a disposable pod system device with patent pull and play design . It comes with a built-in 650mAh battery. It has food-grade materials and transparent pod for easily checking. Additionally, e-liquid involves eighteen amazing flavors optional to fulfill your individual requirements.SPECIFICATIONS:• Size: 16*102.5mm• Battery Capacity: 650mAh• Power: 12.5W• Output Voltage: 3.5V• E-juice Capacity: 3.5ml• Coil Resistance: 1.0Ω• Material: Stainless steel & PCTGLIO BEE18 is a new redefined Disposable Pod Kit.It comes with a patent pull & play design for best flavor.The LIO BEE18 5% Disposable Kit is powered by 1000mAh built-in battery and 5ml pre-filled e-liquid.Additionally,18 amazing flavors available to choose from,and transparent pod for easily checking e-liquid levels.SPECIFICATIONS:• Size: 18*104mm• Battery Capacity: 1000mAh• Power: 12.5W• Output Voltage: 3.5V• E-juice Capacity: 5.0ml• Coil Resistance: 1.0Ω• Material: Stainless steel & PCTG
                              ","BRAND:
LIO",LIO DISPOSABLE DEVICE.png,"LIO,DISPOSABLES","$55.00,$55.00,$55.00,$55.00,$55.00,$55.00,$55.00,$55.00,$55.00,$55.00","BANANA ICE,COOL MINT,ENERGY DRINK,GRAPE ICE,GUAVA,LEMON CREAM BISCUIT,LEMON PINEAPPLE PEACH,MANGO ICE,MELON ICE,PINK LEMONADE",DISPOSABLES,POD SYSTEMS
AIRIS PUFF MEGA 2000 PUFFS DISPOSABLE,"
                 Airis Mega disposable vape pod device is a pre-filled disposable vape pod system. It's compact in size and pocket-friendly, which makes it easier to carry.The Airis Mega disposable pod device is powered by a 1050mAh built-in battery and contains 6ml of pre-filled tasty e-liquid. Plus the 1.8ohm coil in the Airis Mega will bring you more than 2000 puffs for a awesome vaping experience. Check out our collection of disposable vape bundles.AIRIS PUFF MEGA 2000 PUFFS DISPOSABLE FEATURES:Disposable Vaporizer | Pack Of 10Puff Count: +1600Nicotine: 50mgWARNING: Please have a great understanding and technical
knowledge on how to use this product in order to properly use it. There is
always an inherent risk when using any rechargeable batteries at anytime and
under any circumstances. SunshineNovelty.com and any
of SunshineNovelty.com’s parent and subsidiary companies are not held
responsible for any damage for any modification of the batteries, chargers,
devices and other products that we carry in any form or shape, this is
including pack making.

SunshineNovelty.com and any or all
of SunshineNovelty.com’s parent and subsidiary companies will not be held
responsible or liable for any injury, damage, or defect, permanent or temporary
that may be caused by the improper use of a Li-ion (Lithium-ion), LiPo (Lithium-ion
Polymer) and any rechargeable battery and/or batteries as well as chargers.
Please have a greater understanding of the batteries and/or chargers you are
using and how to care for them properly. 
                              ","BRAND:
AIRIS",AIRIS PUFF MEGA 2000 PUFFS DISPOSABLE.png,AIRIS,"$60.00,$60.00,$60.00,$60.00,$60.00,$60.00,$60.00,$60.00,$60.00,$60.00","BANANA ICE,BLUE RAZZ,BLUEBERRY ICE,BUBBLE GUM,COOL MINT,ENERGY DRINK,GRAPE SODA,GUAVA MANGO,KIWI LEMONADE,LUSH ICE",DISPOSABLES,POD SYSTEMS
UNO MAS DISPOSABLES 1200 PUFFS,"
                UNO MAS DISPOSABLES 1200 PUFFSUNO MAS is a pre-filled disposable vape pod system device that is compact, a pocket-friendly size and easier to carry. The UNO MAS Disposable 1200 puffs is powered by 800mAh built-in battery and 4ml pre-filled pod with tasty e-liquids Check out our collection of disposable vape bundles.Device Details:Size: 4ml12ctNicotine Strength: 5.0%Salt Nicotine equivalent to about 1 pack of cigarettesBattery Capacity: 800mAhPuff Count: 1200+ PuffsFlavors:COOL MINT - GRAPE - ICED BANANA TAFFY - ICED BLUEBERRY - ICED PEACH - LUSH ICE - PASSION FRUIT MANGO - PINA COLADA - PINK LEMONADE - STRAWBERRY YOGURT - MANGO BLAST
                              ","BRAND:
UNO MAS",UNO MAS DISPOSABLES 1200 PUFFS.png,DISPOSABLE,"$70.00,$70.00,$70.00,$70.00,$70.00,$70.00,$70.00,$70.00,$70.00,$70.00","COOL MINT,GRAPE,ICED BANANA TAFFY,ICED BLUEBERRY,ICED PEACH,LUSH ICE,MANGO BLAST,PASSION FRUIT MANGO,PINA COLADA,PINK LEMONADE",DISPOSABLES,POD SYSTEMS
KANGVAPE ONEE STICK DISPOSABLES 1800 PUFFS 10CT,"
                KANGVAPE ONEE STICK DISPOSABLES 1800 PUFFSKANGVAPE ONEE STICK is a pre-filled disposable vape pod system device that is compact, a pocket-friendly size and easier to carry. The KANGE VAPE ONEE STICK Disposable 1800 puffs is powered by 1100mAh built-in battery and 6ml pre-filled pod with tasty e-liquids Check out our collection of disposable vape bundles.Device Details:Size: 6ml10ctNicotine Strength: 5.0%Salt Nicotine equivalent to about 1 pack of cigarettesBattery Capacity: 1100mAhPuff Count: 1800+ PuffsFlavors:Blueberry Lemon - Peach Ice - Strawberry Ice - Blue Razz Ice - Mixed Fruit - Banana Ice
                              ","BRAND:
KANGVAPE",KANGVAPE ONEE STICK DISPOSABLES 1800 PUFFS 10CT.png,DISPOSABLE,"$45.00,$45.00,$45.00,$45.00,$45.00,$45.00,$45.00,$45.00,$45.00,$45.00","BANANA ICE,BANANA STRAWBERRY ICE,BLUE RAZZ ICE,BLUEBERRY LEMON,COOL MINT,ENERGY DRINK,GRAPE ICE,LUSH ICE,MANGO ICE,MIXED FRUIT",DISPOSABLES,POD SYSTEMS
HYDE COLOR EDITION PLUS 1500 PUFFS DISPOSABLE ,"
                HYDE COLOR EDITION PLUS 1500 PUFFS DISPOSABLE LARGER is better with the all-new Hyde color edition plus. Redesigned to fit more E-Liquid and a bigger internal battery, ensuring the device will last longer while keeping it within the palm of your hand. An upgrade to Hyde's air flow technology makes each inhale consistently smooth. Stimulate your taste buds with the renowned flavors presented to you by Hyde that will always keep you on the Edge.Hyde Disposable Device Features:Disposable Pod Vape Pens. Easy to use, incredible flavors.Capacity: 6mLBattery Capacity: 1100mAhNicotine: 50mg14 Flavors available:Mango | Mango Ice | Pineapple Ice | Krazy Kustard | Blue Razz | Pink Lemonade | Cherry Lemonade | Spearmint | Honeydew Punch | Lush Ice | Strawmelon Apple | Peach Mango Watermelon | Strawberries & Cream | Fire & Ice | Honeydew 
                              ","BRAND:
HYDE",HYDE COLOR EDITION PLUS 1500 PUFFS DISPOSABLE .png,"DISPOSABLE,POD SYSTEM,HYDE","$80.00,$80.00,$80.00,$80.00,$80.00,$80.00,$80.00,$80.00,$80.00,$80.00","ALOE GRAPE,BANANA ICE,BLUE RAZZ,BLUE RAZZ ICE,CHERRY LEMONADE,HONEYDEW PUNCH,LEMON CRUMBLE,LUSH ICE,MANGO ICE,NEON RAIN",DISPOSABLES,POD SYSTEMS
KIEF DISPOSABLE 2000 PUFFS 10PC,"
                 Kief Disposable E-cig Pod 1500 Puffs, Filled with 5ml e-juice, and provide Fresh Great Flavors. It comes with the 5 best selling flavors: Strawberry Watermelon, Watermelon Ice, Guava Ice, Blueberry Raspberry & Peach Ice. Therefore, you must try it.
                              ","BRAND:
KIEF",KIEF DISPOSABLE 2000 PUFFS 10PC.png,DISPOSABLES,"$70.00,$70.00,$70.00,$70.00,$70.00,$70.00,$70.00","BLUEBERRY RASPBERRY,CHEESECAKE,ENERGY DRINK,GUAVA ICE,LUSH ICE,PEACH ICE,STRAWBERRY WATERMELON",DISPOSABLES,POD SYSTEMS
R & M XTRA DISPOSABLE 1500 PUFFS 10PC,"
                  DISPLAY BOXNew to arrive at Sunshine Novelty! These disposables vapes from XTRA are BIG! With a large juice capacity and big battery they are more than enough to keep any customer happy! FlavorsBanana IceBlue Razz Bubble GumCotton CandyCola IceCool MintLush IcePina Colada IcePeach LemonadeStrawberry KiwiStrawnanaTangerine IceWatermelon Candy
                              ","BRAND:
R&M",R & M XTRA DISPOSABLE 1500 PUFFS 10PC.png,DISPOSABLES,"$60.00,$60.00,$60.00,$60.00,$60.00,$60.00,$60.00,$60.00,$60.00,$60.00","BANANA ICE,BLUE RAZ BUBBLE GUM,COLA ICE,COOL MINT,COTTON CANDY,LUSH ICE,PEACH LEMONADE,PINE COLADA ICE,STRAWANA,STRAWBERRY KIWI",DISPOSABLES,POD SYSTEMS
HYPPE MAX FLOW DISPOSABLE DEVICE 2000 PUFFS,"
                 Hype Max Flow Disposable Vape come with 2000 Puffs device that last longer than any Puff disposable on the market and has adjustable air flow.HYPPE MAX FLOW DISPOSABLE DEVICE 2000 PUFFS FEATURES :Hype Max Flow Sizes: 2000 Puffs900mAh BatteryEjuice capacity : 6MLNic Salt Levels : 5%Vg/Pg Ratio: 70VG/30PG BlendWARNING: Please have a great understanding and technical
knowledge on how to use this product in order to properly use it. There is
always an inherent risk when using any rechargeable batteries at anytime and
under any circumstances. SunshineNovelty.com and any
of SunshineNovelty.com’s parent and subsidiary companies are not held
responsible for any damage for any modification of the batteries, chargers,
devices and other products that we carry in any form or shape, this is
including pack making.
SunshineNovelty.com and any or all
of SunshineNovelty.com’s parent and subsidiary companies will not be held
responsible or liable for any injury, damage, or defect, permanent or temporary
that may be caused by the improper use of a Li-ion (Lithium-ion), LiPo (Lithium-ion
Polymer) and any rechargeable battery and/or batteries as well as chargers.
Please have a greater understanding of the batteries and/or chargers you are
using and how to care for them properly. 
                              ","BRAND:
HYPPE",HYPPE MAX FLOW DISPOSABLE DEVICE 2000 PUFFS.png,HYPPE,"$90.00,$90.00,$90.00,$90.00,$90.00,$90.00,$90.00,$90.00","COLA ICE,GUAVA ICE,GUAVA PINEAPPLE ORANGE,GUAVA STRAWBERRY,RASPBERRY WATERMELON,STRAWBERRY LEMONADE,STRAWBERRY WATERMELON,WATERMELON PEACH PEAR",DISPOSABLES,POD SYSTEMS
AMO XTRA 1500 PUFF DISPOSABLE ,"
                 Amo Xtra Disposable Pod Device is a portable but disposable vape system, 5% nicotine salt strength, and features a puff Count +1500.AMO XTRA 1500 PUFF DISPOSABLE  Pod Device Features:Disposable Vaporizer | Pack Of 10Puff Count: +1500Nicotine: 50mgWARNING: Please have a great understanding and technical
knowledge on how to use this product in order to properly use it. There is
always an inherent risk when using any rechargeable batteries at anytime and
under any circumstances. SunshineNovelty.com and any
of SunshineNovelty.com’s parent and subsidiary companies are not held
responsible for any damage for any modification of the batteries, chargers,
devices and other products that we carry in any form or shape, this is
including pack making.


SunshineNovelty.com and any or all
of SunshineNovelty.com’s parent and subsidiary companies will not be held
responsible or liable for any injury, damage, or defect, permanent or temporary
that may be caused by the improper use of a Li-ion (Lithium-ion), LiPo (Lithium-ion
Polymer) and any rechargeable battery and/or batteries as well as chargers.
Please have a greater understanding of the batteries and/or chargers you are
using and how to care for them properly. 
                              ","BRAND:
AMO",AMO XTRA 1500 PUFF DISPOSABLE .png,DISPOSABLE,"$60.00,$60.00,$60.00,$60.00,$60.00,$60.00,$60.00,$60.00","BANANA ICE,BLUE RAZZ,BUBBLE GUM,COOL MINT,GUAVA ICE,LUSH ICE,MARGARITA,SKITTLES",DISPOSABLES,POD SYSTEMS
