title,description,Brand,imageName,Tags,price,Variation,subcategory,category
AIR FACTORY E-LIQUID SALT 30ML BY AIR FACTORY,"
                 Salt factory is the newest Premium Salt Nic vape juice line by Air Factory. Air Factory's most popular flavors recreated using nicotine salts for the demanding high nicotine vape market. Salt Factory E-liquid Series Features:30mL Chubby BottleDropper In BottleNicotine Salts FormulationCrafted For Ultra-Low Wattage & Pod-Based SystemAvailable nicotine: 18mg, 36mgMade in USA**Warning: Not For Sub-Ohm Use**CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.
                              ","BRAND:
AIR FACTORY",AIR FACTORY E-LIQUID SALT 30ML BY AIR FACTORY.png,"SALT NIC,SALT,FRUITY,E-Juice,E-liquid,Air Factory","$8.00,$8.00,$8.00,$8.00,$8.00,$8.00,$8.00,$8.00,$8.00,$8.00","BERRY RUSH 18MG,BERRY RUSH 36MG,BLUE RAZZ 18MG,BLUE RAZZ 36MG,BLUE RAZZ ICE 18MG,BLUE RAZZ ICE 36MG,BOLD TOBACCO 18MG,BOLD TOBACCO 36MG,CREAMY CRUNCH 18MG,CREAMY CRUNCH 36MG",AIR FACTORY,E-LIQUID
AIR FACTORY E-LIQUID SERIES 60ML,"
                 AIR FACTORY E-LIQUID SERIES 60ML FEATURES:60mL Glass Bottle70% VG30% PGMade in USAAvailable nicotine: 0mg, 3mg, 6mg
                              ","BRAND:
AIR FACTORY",AIR FACTORY E-LIQUID SERIES 60ML.png,"Frost,Ice,Fruity,Tropical,e-juice,e-liquid,Air Factory","$8.00,$8.00,$8.00,$8.00,$8.00,$8.00,$8.00,$8.00,$8.00,$8.00","BERRY RUSH 3MG,BERRY RUSH 6MG,BLUE RAZZ 3MG,BLUE RAZZ 6MG,BLUE RAZZ ICE 0.3MG,BLUE RAZZ ICE 0.6MG,BOLD TOBACCO 3MG,BOLD TOBACCO 6MG,CREAMY CRUNCH 3MG,CREAMY CRUNCH 6MG",AIR FACTORY,E-LIQUID
SALT FACTORY E-LIQUID SERIES 30ML BY AIR FACTORY,"
                 Salt factory is the newest Premium Salt Nic vape juice line by Air Factory. Air Factory's most popular flavors recreated using nicotine salts for the demanding high nicotine vape market. Salt Factory E-liquid Series Features:30mL Chubby BottleDropper In BottleNicotine Salts FormulationCrafted For Ultra-Low Wattage & Pod-Based SystemAvailable nicotine: 35mg, 50mgMade in USASalt Factory E-liquid Series Flavors:Berrt Rush is a flavorful rendition of sweet taffy candy infused with an assortment of delectable berries.Blue Ruzz is a tasty blue raspberry candy with a unique balanced blend of sweet and tart to keep it interesting.Crisp Apple is sweet Crisp Apple blasted with a Menthol Chill. Iced Chee is a juicy lychee and exotic fruits finished with an icy burst. Mango brings you the sweetest mango flavor in every vape.Melon Lush is a delicious rendition of your favorite taffy candy with a burst of sweet, mouth-watering, juicy watermelon.Mint Limited Edition is a refreshing, crisp, icy mint blast paired to perfection with cool menthol smoothness.Mystery is sweet mysterious taffy with decadent flavor profiles that will have your taste buds guessing.Strawberry Kiwi is a sweet strawberry taffy with a slight touch of kiwi delivering the ultimate candy experience.Tobacco Limited Edition gives you the traditional tobacco flavor without the effect of cigarette tar.**Warning: Not For Sub-Ohm Use**CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.
                              ","BRAND:
AIR FACTORY",SALT FACTORY E-LIQUID SERIES 30ML BY AIR FACTORY.png,"SALT NIC,SALT,FRUITY,E-Juice,E-liquid,Air Factory","$9.00,$9.00,$9.00,$9.00,$9.00,$9.00,$9.00,$9.00,$9.00,$9.00","BERRY RUSH 35MG,BERRY RUSH 50MG,BLUE RAZZ 35MG,BLUE RAZZ 50MG,CRISP APPLE 35MG,CRISP APPLE 50MG,ICED CHEE 35MG,ICED CHEE 50MG,MANGO 35MG,MANGO 50MG",AIR FACTORY,E-LIQUID
FROST FACTORY E-LIQUID SERIES 100ML BY AIR FACTORY,"
                  The Frost Factory series contains the icy mentholated versions of the same fruity candy e-liquid flavors in the original Air Factory series. If you want delectable fruity candy vapes with a touch of icy menthol, then the Frost Factory series is for you.Frost Factory E-liquid Series Features:100mL Glass Bottle70% VG30% PGMade in USAAvailable nicotine: 0mg, 3mg, 6mgFrost Factory E-liquid Series Flavors:Crisp Apple is a fresh apple flavored e-liquid with a refreshing menthol kick. Inhale the juicy taste of a freshly sliced juicy apple and exhale a cool but smooth menthol vape cloud.Iced Chee features the unique taste of fresh lychee's mixed with a juicy combination of exotic fruits blended together and topped off with a cool menthol kick. Tropical Freeze features the classic candy taffy taste together with a refreshing combination of ripe strawberries and juicy kiwi tied together with a cool menthol kick.Blue Ruzz Ice is an ice cold flavor-packed blue raspberry e-juice that will have you shivering with every puff. Sweet fresh blue raspberries are blended with arctic chunks of iced and quickly stuffed and sealed into a 100ml bottle. Melon Lush Ice is a succulent blend of giant summer watermelons and luscious honeydew melons that are blended perfectly with stretchy taffy and finished off with an icy cool menthol blast. CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.
                              ","BRAND:
AIR FACTORY",FROST FACTORY E-LIQUID SERIES 100ML BY AIR FACTORY.png,"Frost,Ice,Fruity,Tropical,e-juice,e-liquid,Air Factory","$10.99,$10.99,$10.99,$10.99,$10.99,$10.99,$10.99,$10.99,$10.99,$10.99","BLUE RAZZ ICE 0.3MG,BLUE RAZZ ICE 0.6MG,BLUE RAZZ ICE 00MG,CRISP APPLE 0.3MG,CRISP APPLE 0.6MG,CRISP APPLE 00MG,ICED CHEE 0.3MG,ICED CHEE 0.6MG,ICED CHEE 00MG,MELON LUSH ICE 0.3MG",AIR FACTORY,E-LIQUID
TREAT FACTORY SERIES 100ML BY AIR FACTORY,"
                TREAT FACTORY E-LIQUID SERIES 100ML BY AIR FACTORYYou are in for a special vape “treat” that is full of sweet and nostalgic tastes brought to you by Air Factory. Treat Factory E-liquid has arrived and is making a statement with its new collection of vape juice flavors. With flavors such as Lemon Glaze, Custard Craze, Kookie Krunch, Strawberry Crush, and Jaw Dropper, your jaw will drop after every vape.Treat Factory E-liquid Series Features:100mL Glass Bottle70% VG30% PGMade in USAAvailable nicotine: 0mg, 3mg, 6mgTreat Factory E-liquid Series Flavors:Custard Craze gives you a warm, flaky dessert pastry infused with rich, creamy layered vanilla custard.Strawberry Crush gives you a lip-smacking rendition of a sweet treat filled with flavor-packed savory strawberry.Jaw Dropper gives you the ultimate watermelon rendition of your favorite hard candy with an assortment of sweet flavors.Kookie Krunch gives you a delicious take on doughy, chewy, sweet cookie infused with chocolate chip bits.Lemon Glaze gives you a fresh flavor of baked pound cake combined with a sultry and seductive lemon glaze, with sweet and tangy flavor prevalent in every cloud.CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.
                              ","BRAND:
AIR FACTORY",TREAT FACTORY SERIES 100ML BY AIR FACTORY.png,"TREAT FACTORY,AIR FACTORY,FRUITY,E-JUICE,E-LIQUID","$10.99,$10.99,$10.99,$10.99,$10.99,$10.99,$10.99,$10.99,$10.99,$10.99","CUSTARD CRAZE 0.3MG,CUSTARD CRAZE 0.6MG,CUSTARD CRAZE 00MG,JAW DROPPER 0.3MG,JAW DROPPER 0.6MG,JAW DROPPER 00MG,KOOKIE KRUNCH 0.3MG,KOOKIE KRUNCH 0.6MG,KOOKIE KRUNCH 00MG,LEMON GLAZE 0.3MG",AIR FACTORY,E-LIQUID
AIR FACTORY E-LIQUID SERIES 100ML,"
                 Air Factory is Gourmet Premium E-Liquid Manufacturer based out of Southern California. Their dedication to craftsmanship is evident in every e-liquid flavor produced. Air Factory delivers high quality e-liquid through research, development, rigorous testing and innovation. Try the amazing flavors by Air Factory, including: Mystery, Blue Razz, Strawberry Kiwi, Wild Apple, Melon Lush, Lemon Glaze, and Berry Rush.Air Factory E-liquid Series Features:100mL Glass Bottle70% VG30% PGMade in USAAvailable nicotine: 0mg, 3mg, 6mgAir Factory E-liquid Series Flavors:Blue Ruzz E-Liquid is a delicious blue raspberry taffy candy that balances sweetness with a hint of tartness to create an extraordinarily well rounded flavor that is so juicy.Mystery E-Liquid blends mixed berries and fruits to create a complex candied fruit flavor that will keep you guessing each and every time you vape. Once you've experienced this delicious taffy candy e-juice it won't be a mystery as to why it is a top selling vape. Strawberry Kiwi is a sweet strawberry taffy with a slight touch of kiwi delivering a mind blowing candy experience you'll crave all day.Wild Apple is a mouth-watering, sweet and tart candied green apple taffy vape that is so good that your mouth will feel like you just ate an apple. Berry Rush is a delectable mixed berry taffy e-juice that balances sweetness with a hint of tartness to create an extraordinarily well rounded flavor that is juicy. On the inhale you will experience a burst of sweet and tart sun ripened berries with a smooth creamy taffy finish on the exhale.Melon Lush is a luscious vape blend of succulent honeydew, crisp sweet watermelon and creamy taffy candy. On the inhale you will experience the refreshing burst of sweet and sumptuous mixed melons with a smooth taffy finish on the exhale. CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.
                              ","BRAND:
AIR FACTORY",AIR FACTORY E-LIQUID SERIES 100ML.png,"AIR FACTORY,E-LIQUID,100ML,E-JUICE,ORIGINAL","$10.99,$10.99,$10.99,$10.99,$10.99,$10.99,$10.99,$10.99,$10.99,$10.99","BERRY RUSH 0.3MG,BERRY RUSH 0.6MG,BERRY RUSH 00MG,BLUE RAZZ 0.3MG,BLUE RAZZ 0.6MG,BLUE RAZZ 00MG,MELON LUSH 0.3MG,MELON LUSH 0.6MG,MELON LUSH 00MG,MYSTERY 0.3MG",AIR FACTORY,E-LIQUID
