title,description,Brand,imageName,Tags,price,Variation,subcategory,category
BAD DRIP SALT E-LIQUID SERIES 30ML,"
                 The Bad Drip's Nic Salt collection consists of wacky and whimsical flavors that contain high-quality nicotine salts in order to satisfy you in every way. Bad Drip Salt E-liquid Series Features:30mL Chubby BottleDropper In BottleNicotine Salts FormulationCrafted For Ultra-Low Wattage & Pod-Based SystemAvailable nicotine: 25mg and 45mgMade in USABad Drip Salt E-liquid Series Flavors:Bad Blood has a flavor of blueberry, pomegranate, and vanilla swirled and blended to create a sweet and enchanting flavor. Real fruit extracts with quality vanilla make for a tasty experience unlike any other. Cereal Trip is a scrumptious marriage between the two tasty breakfasts works of art. Warm and cushy coated doughnuts finished with sugary fruity oat, completed off with the appetizing and smooth taste of chilly drain. Don't Care Bear is the flavor of gooey sticky bears splashed through with a succulent concoction of pear and peach. A fruity blend of naturally sweet peach and pear fruits with a base of treats sticky bear treats.Farley's Gnarly Sauce is a one of a kind blend of kiwi-covered confections, bubblegum, and new good country strawberries. Ugly Butter is the flavor of a singed mixture covered in genuine banana pudding, finished with clues of cinnamon sugar. **Warning: Not For Sub-Ohm Use**CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.
                              ","BRAND:
BAD DRIP LABS",BAD DRIP SALT E-LIQUID SERIES 30ML.png,"Salt Nic. Bad Drip,high nicotine,e-juice,e-liquid,fruity,","$8.00,$8.00,$8.00,$8.00,$8.00,$8.00,$8.00,$8.00,$8.00,$8.00","BAD APPLE 25MG,BAD APPLE 45MG,BAD BLOOD 25MG,BAD BLOOD 45MG,CEREAL TRIP 25MG,CEREAL TRIP 45MG,DON'T CARE BEAR 25MG,DON'T CARE BEAR 45MG,FARLEY'S GNARLY SAUCE 25MG,FARLEY'S GNARLY SAUCE 45MG",BAD DRIP,E-LIQUID
BAD DRIP E-LIQUID SERIES 60ML,"
                 Bad Drip vape juice is one of the top-selling juice lines in the vape industry today. Bad Drip flavor options range from the classic cereal-inspired flavors to rich, fruity and buttery - all with fun, unique names and a taste that will keep you coming back.Bad Drip E-liquid Series Features:60mL Glass Bottle70% VG30% PGMade in USAAvailable nicotine: 0mg, 3mg, 6mgBad Drip E-liquid Series Flavors:Bad Blood is a delicious vape blend of crystalized blueberry, splattered with pomegranate blood and finished off with a dusting of vanilla. Cereal Trip is a delicious vape blend conceived from the tears of a clown and your Daddy's favorite fruity cereal, slathered on top of a gooey frosted donut, drowning in a sugar-rich milk bath. Don't Care Bear is a delectable candied vape blend of Gummy Guts, with Peach and Pear goodness. A tasty mixture of Gummy Candy with Candied Peachy Pear fruitiness while the exhale leaves you with a perfect sweet and tart blend.Farley's Gnarly Sauce is tangy kiwi combined with the heart of psychedelic strawberries dipped in a light bubblegum nectar. God Nectar is a heavenly vape blend of exotic passionfruit, orange, mango, and guava that will send your taste buds into another dimension.Ugly Butter is a decadent vape blend of fried dough, warm cinnamon sugar, and delicious banana nut pudding. The inhale is a wonderful infusion of banana pudding and sugar, while the exhale leaves you with a taste of homemade cinnamon toast. Bad Apple blends together crisp apples with sweet apples, and even more tart apples for an apple vape juice that will delight the taste buds.Bad Drip Iced Out E-liquid Series Flavors:Don't Care Bear Iced Out is the chewy sticky treat topped with crystallized sugar, with a flavor combination of melon, peach, pear and a refreshing menthol at the end.Farley's Gnarly Sauce Iced Out is a strawberry kiwi infused bubble gum flavored e juice with a menthol twist.CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.
                              ","BRAND:
BAD DRIP LABS",BAD DRIP E-LIQUID SERIES 60ML.png,"BAD DRIP,E-LIQUID,E-JUICE,VAPE,60ML","$8.00,$8.00,$8.00,$8.00,$8.00,$8.00,$8.00,$8.00,$8.00,$8.00","BAD APPLE 0.0MG,BAD APPLE 0.3MG,BAD APPLE 0.6MG,BAD BLOOD 0.0MG,BAD BLOOD 0.3MG,BAD BLOOD 0.6MG,CEREAL TRIP 0.0MG,CEREAL TRIP 0.3MG,CEREAL TRIP 0.6MG,DON'T CARE BEAR 0.0MG",BAD DRIP,E-LIQUID
