title,description,Brand,imageName,Tags,price,Variation,subcategory,category
AIR FACTORY E-LIQUID SALT 30ML BY AIR FACTORY,"
                 Salt factory is the newest Premium Salt Nic vape juice line by Air Factory. Air Factory's most popular flavors recreated using nicotine salts for the demanding high nicotine vape market. Salt Factory E-liquid Series Features:30mL Chubby BottleDropper In BottleNicotine Salts FormulationCrafted For Ultra-Low Wattage & Pod-Based SystemAvailable nicotine: 18mg, 36mgMade in USA**Warning: Not For Sub-Ohm Use**CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.
                              ","BRAND:
AIR FACTORY",AIR FACTORY E-LIQUID SALT 30ML BY AIR FACTORY.png,"SALT NIC,SALT,FRUITY,E-Juice,E-liquid,Air Factory","$8.00,$8.00,$8.00,$8.00,$8.00,$8.00,$8.00,$8.00,$8.00,$8.00","BERRY RUSH 18MG,BERRY RUSH 36MG,BLUE RAZZ 18MG,BLUE RAZZ 36MG,BLUE RAZZ ICE 18MG,BLUE RAZZ ICE 36MG,BOLD TOBACCO 18MG,BOLD TOBACCO 36MG,CREAMY CRUNCH 18MG,CREAMY CRUNCH 36MG",AIR FACTORY SALT,SALT NIC 
SALT FACTORY E-LIQUID SERIES 30ML BY AIR FACTORY,"
                 Salt factory is the newest Premium Salt Nic vape juice line by Air Factory. Air Factory's most popular flavors recreated using nicotine salts for the demanding high nicotine vape market. Salt Factory E-liquid Series Features:30mL Chubby BottleDropper In BottleNicotine Salts FormulationCrafted For Ultra-Low Wattage & Pod-Based SystemAvailable nicotine: 35mg, 50mgMade in USASalt Factory E-liquid Series Flavors:Berrt Rush is a flavorful rendition of sweet taffy candy infused with an assortment of delectable berries.Blue Ruzz is a tasty blue raspberry candy with a unique balanced blend of sweet and tart to keep it interesting.Crisp Apple is sweet Crisp Apple blasted with a Menthol Chill. Iced Chee is a juicy lychee and exotic fruits finished with an icy burst. Mango brings you the sweetest mango flavor in every vape.Melon Lush is a delicious rendition of your favorite taffy candy with a burst of sweet, mouth-watering, juicy watermelon.Mint Limited Edition is a refreshing, crisp, icy mint blast paired to perfection with cool menthol smoothness.Mystery is sweet mysterious taffy with decadent flavor profiles that will have your taste buds guessing.Strawberry Kiwi is a sweet strawberry taffy with a slight touch of kiwi delivering the ultimate candy experience.Tobacco Limited Edition gives you the traditional tobacco flavor without the effect of cigarette tar.**Warning: Not For Sub-Ohm Use**CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.
                              ","BRAND:
AIR FACTORY",SALT FACTORY E-LIQUID SERIES 30ML BY AIR FACTORY.png,"SALT NIC,SALT,FRUITY,E-Juice,E-liquid,Air Factory","$9.00,$9.00,$9.00,$9.00,$9.00,$9.00,$9.00,$9.00,$9.00,$9.00","BERRY RUSH 35MG,BERRY RUSH 50MG,BLUE RAZZ 35MG,BLUE RAZZ 50MG,CRISP APPLE 35MG,CRISP APPLE 50MG,ICED CHEE 35MG,ICED CHEE 50MG,MANGO 35MG,MANGO 50MG",AIR FACTORY SALT,SALT NIC 
